5	195	3.06
6	0	29
7	212	3.33
8	1	1
9	186	2.92
10	2	20
11	203	3.18
12	3	1
13	196	3.07
14	0	29
15	200	3.14
16	1	1
17	196	3.07
18	2	29
19	203	3.18
20	3	1
21	187	2.93
22	0	59
23	198	3.11
24	1	1
25	194	3.04
26	2	29
27	197	3.09
28	3	1
29	195	3.06
30	0	29
31	197	3.09
32	1	1
33	194	3.04
34	2	29
35	196	3.07
36	3	1
37	194	3.04
38	0	29
39	196	3.07
40	1	1
41	194	3.04
42	2	29
43	195	3.06
44	3	1
45	193	3.03
46	0	29
47	195	3.06
48	1	1
49	192	3.01
50	2	29
51	195	3.06
52	3	1
53	193	3.03
54	0	29
55	195	3.06
56	1	1
57	192	3.01
58	2	29
59	195	3.06
60	3	1
61	193	3.03
62	0	29
63	194	3.04
64	1	1
65	192	3.01
66	2	29
67	195	3.06
68	3	1
69	192	3.01
70	0	29
71	194	3.04
72	1	1
73	191	3.00
74	2	29
75	195	3.06
76	3	1
77	192	3.01
78	0	29
79	195	3.06
80	1	1
81	191	3.00
82	2	29
83	194	3.04
84	3	1
85	192	3.01
86	0	29
87	194	3.04
88	1	1
89	191	3.00
90	2	29
91	195	3.06
92	3	1
93	192	3.01
94	0	29
95	195	3.06
96	1	1
97	191	3.00
98	2	29
99	194	3.04
100	3	1
101	191	3.00
102	0	29
103	194	3.04
104	1	1
105	191	3.00
106	2	29
107	194	3.04
108	3	1
109	192	3.01
110	0	29
111	194	3.04
112	1	1
113	191	3.00
114	2	29
115	194	3.04
116	3	1
117	191	3.00
118	0	29
119	194	3.04
120	1	1
121	191	3.00
122	2	29
123	195	3.06
124	3	1
125	192	3.01
126	0	29
127	195	3.06
128	1	1
129	191	3.00
130	2	29
131	194	3.04
132	3	1
133	192	3.01
134	0	29
135	194	3.04
136	1	1
137	191	3.00
138	2	29
139	194	3.04
140	3	1
141	192	3.01
142	0	29
143	195	3.06
144	1	1
145	191	3.00
146	2	29
147	195	3.06
148	3	1
149	185	2.90
150	0	20
151	195	3.06
152	1	1
153	187	2.93
154	2	20
155	196	3.07
156	3	1
157	188	2.95
158	0	59
159	196	3.07
160	1	1
161	186	2.92
162	2	20
163	213	3.34
164	0	19
165	213	3.34
166	0	19
167	198	3.11
168	1	1
169	189	2.96
170	2	29
171	213	3.34
172	0	19
173	214	3.36
174	0	19
175	213	3.34
176	0	19
177	214	3.36
178	0	19
179	199	3.12
180	1	1
181	196	3.07
182	2	29
183	202	3.17
184	3	1
185	196	3.07
186	0	29
187	203	3.18
188	1	1
189	193	3.03
190	2	29
191	208	3.26
192	3	1
193	198	3.11
194	0	19
195	210	3.29
196	1	1
197	197	3.09
198	2	19
199	214	3.36
200	3	1
201	191	3.00
202	0	29
203	206	3.23
204	1	1
205	197	3.09
206	2	19
207	203	3.18
208	3	1
209	197	3.09
210	0	19
211	202	3.17
212	1	1
213	197	3.09
214	2	19
215	206	3.23
216	3	1
217	197	3.09
218	0	19
219	214	3.36
220	1	1
221	197	3.09
222	2	19
223	214	3.36
224	0	19
225	209	3.28
226	1	1
227	197	3.09
228	2	19
229	213	3.34
230	0	19
231	200	3.14
232	1	1
233	197	3.09
234	2	19
235	199	3.12
236	3	1
237	194	3.04
238	0	29
239	198	3.11
240	1	1
241	190	2.98
242	2	29
243	197	3.09
244	3	1
245	192	3.01
246	0	29
247	195	3.06
248	0	29
249	196	3.07
250	1	1
251	192	3.01
252	2	29
253	195	3.06
254	3	1
255	192	3.01
256	0	29
257	195	3.06
258	1	1
259	192	3.01
260	2	29
261	195	3.06
262	3	1
263	192	3.01
264	0	29
265	194	3.04
266	1	1
267	191	3.00
268	2	29
269	194	3.04
270	3	1
271	192	3.01
272	0	29
273	195	3.06
274	1	1
275	191	3.00
276	2	29
277	195	3.06
278	3	1
279	191	3.00
280	0	29
281	195	3.06
282	1	1
283	192	3.01
284	2	29
285	195	3.06
286	3	1
287	192	3.01
288	0	29
289	195	3.06
290	1	1
291	191	3.00
292	2	29
293	195	3.06
294	3	1
295	192	3.01
296	0	29
297	195	3.06
298	1	1
299	191	3.00
300	2	29
301	195	3.06
302	3	1
303	192	3.01
304	0	29
305	195	3.06
306	1	1
307	192	3.01
308	2	29
309	194	3.04
310	3	1
311	192	3.01
312	0	29
313	194	3.04
314	1	1
315	191	3.00
316	2	29
317	194	3.04
318	3	1
319	193	3.03
320	0	29
321	194	3.04
322	1	1
323	192	3.01
324	2	29
325	194	3.04
326	3	1
327	192	3.01
328	0	29
329	195	3.06
330	1	1
331	191	3.00
332	2	29
333	195	3.06
334	3	1
335	192	3.01
336	0	29
337	195	3.06
338	1	1
339	190	2.98
340	2	29
341	194	3.04
342	3	1
343	192	3.01
344	0	29
345	195	3.06
346	1	1
347	191	3.00
348	2	29
349	195	3.06
350	3	1
351	191	3.00
352	0	29
353	195	3.06
354	1	1
355	189	2.96
356	2	59
357	196	3.07
358	3	1
359	192	3.01
360	0	29
361	196	3.07
362	1	1
363	192	3.01
364	2	29
365	197	3.09
366	3	1
367	194	3.04
368	0	29
369	196	3.07
370	1	1
371	192	3.01
372	2	29
373	196	3.07
374	3	1
375	193	3.03
376	0	29
377	214	3.36
378	0	19
379	214	3.36
380	0	19
381	213	3.34
382	0	19
383	213	3.34
384	0	19
385	213	3.34
386	0	19
387	214	3.36
388	0	19
389	198	3.11
390	1	1
391	200	3.14
392	0	19
393	198	3.11
394	1	1
395	194	3.04
396	2	29
397	204	3.20
398	3	1
399	205	3.22
400	0	19
401	209	3.28
402	1	1
403	197	3.09
404	2	19
405	205	3.22
406	3	1
407	197	3.09
408	0	19
409	212	3.33
410	1	1
411	198	3.11
412	2	19
413	204	3.20
414	3	1
415	200	3.14
416	0	19
417	208	3.26
418	1	1
419	201	3.15
420	2	19
421	212	3.33
422	3	1
423	203	3.18
424	0	19
425	214	3.36
426	1	1
427	198	3.11
428	2	19
429	213	3.34
430	3	1
431	208	3.26
432	0	19
433	214	3.36
434	1	1
435	198	3.11
436	2	19
437	214	3.36
438	3	1
439	208	3.26
440	0	19
441	213	3.34
442	1	1
443	206	3.23
444	2	19
445	214	3.36
446	3	1
447	208	3.26
448	0	19
449	214	3.36
450	1	1
451	205	3.22
452	2	19
453	214	3.36
454	3	1
455	206	3.23
456	0	19
457	212	3.33
458	1	1
459	198	3.11
460	2	19
461	208	3.26
462	3	1
463	197	3.09
464	0	19
465	202	3.17
466	1	1
467	192	3.01
468	2	29
469	198	3.11
470	3	1
471	198	3.11
472	0	19
473	197	3.09
474	1	1
475	197	3.09
476	2	19
477	195	3.06
